City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
189,Puerto Leguizamo,-0.1934,-74.7819,72.72,95,52,2.24,CO,broken clouds
190,Matay,28.419,30.7792,63.03,54,0,6.55,EG,clear sky
191,Les Cayes,18.2,-73.75,79.14,80,91,1.48,HT,overcast clouds
192,Am Timan,11.0297,20.2827,74.41,29,55,5.1,TD,broken clouds
193,Taltal,-25.4,-70.4833,64.69,84,51,4.41,CL,broken clouds
194,Bourail,-21.5667,165.4833,81.99,60,91,9.66,NC,overcast clouds
195,Biltine,14.5333,20.9167,71.11,23,0,7.2,TD,clear sky
196,Duluth,46.7833,-92.1066,24.35,81,100,14.97,US,overcast clouds
197,Vestmannaeyjar,63.4427,-20.2734,46.76,81,84,21.85,IS,broken clouds
198,Narsaq,60.9167,-46.05,17.13,91,100,2.33,GL,light snow
199,Oranjemund,-28.55,16.4333,57.83,91,20,9.19,NA,few clouds
200,Sarankhola,22.3082,89.7897,62.69,73,0,5.75,BD,clear sky
201,Grand Gaube,-20.0064,57.6608,68.38,63,19,3.0,MU,few clouds
202,Mattru,7.6244,-11.8332,74.21,90,90,1.41,SL,overcast clouds
203,Faya,18.3851,42.4509,57.31,72,1,1.66,SA,clear sky
204,Caravelas,-17.7125,-39.2481,72.39,94,100,7.47,BR,overcast clouds
205,Port Blair,11.6667,92.75,75.24,100,40,0.0,IN,mist
206,Nouakchott,18.0858,-15.9785,76.93,40,3,9.98,MR,clear sky
207,Havelock,34.8791,-76.9013,47.93,79,19,5.06,US,few clouds
208,Neiafu,-18.65,-173.9833,83.08,78,20,6.91,TO,few clouds
209,Kampot,10.6167,104.1833,75.25,87,99,3.58,KH,overcast clouds
210,East London,-33.0153,27.9116,66.56,88,100,1.95,ZA,light rain
211,Bonthe,7.5264,-12.505,78.24,82,100,2.17,SL,overcast clouds
212,San Quintin,30.4833,-115.95,65.3,35,93,6.98,MX,overcast clouds
213,San Cristobal,7.7669,-72.225,73.58,94,83,2.35,VE,broken clouds
214,Provideniya,64.3833,-173.3,33.91,93,100,15.99,RU,fog
215,Abu Samrah,35.3029,37.1841,56.64,84,9,7.49,SY,clear sky
216,Meiganga,6.5167,14.3,65.1,50,76,1.59,CM,broken clouds
217,Ndioum,16.5129,-14.6471,78.69,18,51,7.96,SN,broken clouds
218,Santa Rosa,14.3122,121.1114,83.01,76,100,11.3,PH,overcast clouds
219,Young,-32.6833,-57.6333,75.74,38,2,9.13,UY,clear sky
220,Harper,4.375,-7.7169,78.06,83,15,6.58,LR,few clouds
221,Porto Seguro,-16.4497,-39.0647,73.92,94,100,4.61,BR,mist
222,Meulaboh,4.1363,96.1285,75.15,88,96,3.22,ID,overcast clouds
223,San Vicente,-26.6167,-54.1333,61.79,72,0,3.44,AR,clear sky
224,Bethel,41.3712,-73.414,39.54,63,29,1.99,US,scattered clouds
